2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,台股大盤收盤價(元),S&P500收盤價
1821693,173.78,248.06,107.03,45.49,59.56,27.6,132.91,100.63,25.28,45.27,67.67,30.39,-6.53,-0.94,269.69,273.2,-0.02,50.17,49.8,50.14,"16,305.88","3,756.07"
1603350,179.38,252.3,108.97,46.05,59.27,27.6,132.91,100.63,25.62,45.32,67.37,384.19,-94.75,-1.32,270.05,273.86,0.3,53.42,66.67,54.11,"16,475.97","3,700.65"
1566216,177.98,253.24,110.9,45.86,59.17,27.5,132.47,101.1,25.95,44.55,69.46,-190.08,37.15,-8.06,270.27,274.57,0.55,53.42,82.07,66.18,"16,554.90","3,726.86"
2490683,178.91,255.59,111.39,46.05,59.17,27.3,132.47,101.57,25.9,44.55,68.17,1057.68,60.3,179.77,270.22,275.22,1.08,57.07,73.18,73.97,"16,431.13","3,748.14"
2275890,176.11,250.42,112.36,46.33,60.22,27.05,131.58,101.1,26,43.92,67.87,-786.53,0.71,52.86,270.92,275.96,1.14,52.62,78.56,77.94,"16,571.28","3,803.79"
3113339,179.38,254.65,110.42,46.29,59.84,26.85,133.36,101.1,26,44.88,67.07,1152.15,0.31,110.34,272.02,276.66,1.75,58.43,75.64,75.79,"16,739.87","3,824.68"
2298484,181.25,257.48,112.84,46.43,59.46,26.6,133.36,100.63,26.52,45.22,69.06,-238.4,-18.41,1.09,273.36,277.34,2.39,60.18,84.74,79.65,"16,815.36","3,799.61"
1588483,179.85,266.42,113.32,46.33,59.17,27.25,132.91,100.63,26.43,46.9,70.96,-411.93,4.18,-13.98,274.97,277.94,2.91,60.54,74.91,78.43,"16,926.44","3,801.19"
1766301,184.05,267.36,112.36,46.38,60.7,27.1,133.36,101.57,26.43,51.57,70.16,-294.03,-125.04,-108.41,276.6,278.51,3.17,58.83,75.49,78.38,"16,854.10","3,809.84"
1752649,184.05,264.54,113.32,46.47,66.7,26.7,132.91,101.57,26.95,52.92,69.86,585.74,1.2,-9.87,277.06,278.93,3.49,60.44,50.13,66.84,"16,859.70","3,795.54"
2365701,175.64,260.3,107.51,47.27,73.37,26.3,133.36,108.63,28.24,55.61,69.26,-987.95,2.34,-156.14,277.54,279.17,3.09,51.75,32.9,52.84,"16,824.91","3,768.25"
1692600,171.91,253.71,108.97,46.99,69.18,26.3,132.91,105.33,27.29,51.96,67.77,101.32,-26.25,16.12,278.21,279.07,2.82,52.66,18.42,33.82,"16,865.97","3,798.91"
1957160,172.84,254.18,108.97,46.8,72.42,25.8,132.47,110.04,26.86,52.24,66.68,257.98,3.91,-29.38,278.86,278.74,2.53,52.13,38.33,29.89,"17,076.73","3,851.85"
1849671,171.91,251.36,108,46.9,71.85,26.15,132.91,111.45,27.52,51.86,68.67,-162.82,0,-15.24,279.45,278.53,2.58,55.97,57.14,37.97,"17,158.81","3,853.07"
1199652,173.78,253.71,107.03,47.04,71.47,26.5,132.47,110.98,27.86,51.28,68.17,-90.43,1.19,8.66,279.93,278.29,2.67,56.9,75.91,57.13,"17,263.28","3,841.47"
1742897,179.38,250.89,105.58,48.22,67.94,27.3,132.91,113.33,28.53,50.8,67.97,384.42,14.23,80.97,281.11,278.18,2.83,58.32,79.48,70.84,"17,323.87","3,855.36"
7208324,178.91,250.42,107.03,47.93,68.8,27.2,133.36,113.8,28.62,50.7,68.47,1662.35,0.15,272.28,281.78,278,3.64,65.98,72.02,75.8,"17,202.11","3,849.62"
3204460,179.85,252.3,105.09,48.5,67.27,27.25,132.91,111.92,31.1,50.03,67.67,-688.39,-2.2,-116.55,282.02,277.79,3.74,58.11,43.53,65.01,"17,096.97","3,750.77"
4115092,182.18,253.24,101.7,47.46,67.66,26.6,132.47,110.51,29,46.52,64.09,-1451.82,-1.6,-120.71,282.57,277.75,3.17,50.18,27.55,47.7,"17,300.27","3,787.38"
2550378,191.53,254.65,100.73,47.84,66.04,26.85,132.03,109.1,28.86,49.84,63.39,-401.84,22.95,4.13,283.24,277.89,2.99,53.59,21.62,30.9,"17,572.29","3,714.24"
1141153,194.33,255.59,100.73,47.93,67.27,26.9,135.58,111.92,28.76,48.97,62.4,18.77,-11.32,-27.96,283.92,278.02,2.89,54.43,42.68,30.62,"17,595.90","3,773.86"
